id	idolId	name	evolutionName	rarity	attribute	type	appeal	stamina	technique	skillId	skillTitle	skillFields	conditionFields	personalSkillIds	skillFields1	conditionFields1	skillFields2	conditionFields2
53	umi	μ’ｓの歌詞担当	みんなのしっかり者	R	active	voltage	3625	4229	4229		秘められた資質							
54	rin	音ノ木坂学院1年生	スポーツ万能少女	R	active	guard	4222	3166	3166		いくにゃ～							
55	rin	μ’ｓの元気印	アスレチックスクールアイドル	R	pure	voltage	3625	4229	4229		不本意だにゃ							
56	maki	音ノ木坂学院1年生	クールビューティー	R	elegant	voltage	3166	3693	3693		素直になれなくて							
57	maki	μ’ｓの作曲担当	信念を持つ才女	R	natural	guard	3625	4834	3625		奏でるメロディー							
58	nozomi	音ノ木坂学院3年生	オールラウンドな副会長	R	pure	guard	3166	3166	4222		カードの知らせ							
59	nozomi	μ’ｓの導き手	音ノ木坂の魔女	R	cool	sp	4834	3625	3625		スピリチュアルパワー							
60	hanayo	音ノ木坂学院1年生	音ノ木坂の飼育係	R	natural	sp	3166	4222	3166		憧れのステージ							
61	hanayo	μ’ｓのスクールアイドル博士	控えめスクールアイドル	R	elegant	skill	4834	3625	3625		白米の輝き							
62	niko	音ノ木坂学院3年生	アイドル研究部部長	R	smile	skill	4222	3693	2638		にっこにこにこにー							
63	niko	μ’ｓの小悪魔	大銀河宇宙No.1アイドル	R	pure	sp	3625	3020	5437		本気を見せてあげるっ							
64	chika	浦の星女学院2年生	普通怪獣ちかちー	R	smile	sp	3166	3693	3693		可能性は無限大							
65	chika	Aqoursのリーダー	諦めない心	R	natural	guard	3988	3988	4107		全身全霊！							
66	riko	浦の星女学院2年生	東京からの転校生	R	natural	skill	3166	3693	3693		新しい私							
67	riko	Aqoursの作曲担当	あわてんぼうなピアニスト	R	active	voltage	4834	3625	3625		これも出会いだから							
68	kanan	浦の星女学院3年生	浦の星のアクアダイバー	R	pure	skill	3482	3482	3587		ダイビングホリック							
69	kanan	Aqours専任コーチ	みんなのお姉さん	R	elegant	guard	3625	4834	3625		海とのたわむれ							
70	dia	浦の星女学院3年生	浦の星の生徒会長	R	cool	voltage	3166	2638	4750		妹想い							
71	dia	Aqoursのツッコミ担当	スクールアイドルアニマ	R	natural	sp	3625	4229	4229		片腹痛いですわ							
72	you	浦の星女学院2年生	陽気な人気者	R	active	voltage	4222	3166	3166		おはヨーソロー							
73	you	Aqours料理担当	敬礼っ！	R	smile	skill	3625	4834	3625		なんとかなる！							
74	yoshiko	浦の星女学院1年生	浦の星の有名？配信者	R	cool	voltage	4222	3166	3166		ヨハネの魔眼							
75	yoshiko	Aqoursの堕天使	堕天使ヨハネ	R	pure	guard	3988	3988	4107		闇のささやき							
76	hanamaru	浦の星女学院1年生	浦の星の図書委員	R	smile	guard	3166	2111	5277		はなまるあげるずら							
77	hanamaru	Aqoursの歩く図書館	天然素材スクールアイドル	R	cool	voltage	3625	4229	4229		スクールアイドルへの決意							
78	mari	浦の星女学院3年生	浦の星の理事長	R	elegant	sp	3166	2638	4750		シャイニー！							
79	mari	Aqoursのムードメーカー	さらに上を目指して	R	pure	guard	3625	4834	3625		キラメキマインド							
80	ruby	浦の星女学院1年生	芯ある泣き虫	R	pure	guard	3166	3693	3693		がんばルビィ							
81	ruby	Aqoursのマスコット	優しい妹	R	smile	sp	4834	3625	3625		ピギィ！							
82	ayumu	虹ヶ咲学園2年生	真面目な努力家	R	smile	sp	4222	3166	3166		あなたと一緒に							
83	ayumu	努力家スクールアイドル	昨日より一歩前へ	R	elegant	skill	3988	3988	4107		夢への階段							
84	kasumi	虹ヶ咲学園1年生	プリティーマスコット	R	elegant	voltage	3166	3693	3693		いたずら小悪魔							
85	kasumi	虎視眈々スクールアイドル	スクールアイドル研究家	R	smile	guard	3625	4834	3625		影の努力							
86	shizuku	虹ヶ咲学園1年生	しっかり者の優等生	R	elegant	skill	3482	3482	3587		後輩としての自覚							
87	shizuku	演劇部兼スクールアイドル	高い表現力	R	cool	voltage	4834	3625	3625		叶える力							
88	karin	虹ヶ咲学園3年生	孤高の花	R	cool	voltage	3166	2638	4750		静かなる闘志							
89	karin	モデル兼スクールアイドル	美の追求	R	elegant	sp	3625	4834	3625		頂を目指して							
90	ai	虹ヶ咲学園2年生	虹ヶ咲の人気者	R	active	voltage	3482	3482	3587		ラブラブビーム							
91	ai	ダジャレ大好きスクールアイドル	チャレンジャー愛	R	cool	skill	4834	3625	3625		ダジャレアタック							
92	kanata	虹ヶ咲学園3年生	中庭の眠り姫	R	pure	skill	3166	4222	3166		お昼寝姫							
93	kanata	眠れるスクールアイドル	スリーピングビューティー	R	smile	guard	3625	4229	4229		夢物語							
94	setsuna	虹ヶ咲学園2年生	？？？？系スクールアイドル	R	active	sp	4222	3166	3166		文武両道							
95	setsuna	期待のスクールアイドル	頼れる才女	R	natural	voltage	3625	4229	4229		LOVE&PEACE							
96	emma	虹ヶ咲学園3年生	おっとりマイペース	R	natural	guard	3166	4222	3166		穏やかな日々							
97	emma	スイスから来たスクールアイドル	アルプスの少女	R	pure	skill	3625	3020	5437		大自然の息吹き							
98	rina	虹ヶ咲学園1年生	秘められた素顔	R	natural	guard	3166	3693	3693		ボード越しの繋がり							
99	rina	顔出しNG系スクールアイドル	璃奈ちゃんボード	R	active	sp	3625	3020	5437		キモチシンパシー							
100	kotori	こっち手伝ってくれる？	welcome to the party	UR	natural	skill	11351	7568	8108	skillInvocationUp_probability_sameTeam	あなたの好きなもの	5,5	33	appealPlus_passive_sameAttribute,skillInvocationUp_acStart_everyone	5.2		10,10	30
101	you	つまみ食いしちゃダメだよ？	君のこころは輝いてるかい？	SR	natural	voltage	6980	4987	4654	criticalUp_probability_sameTeam	あなたにあげるねっ	10,7	33	techniquePlus_passive_myself,voltagePlus_musicStart_everyone	7		3	30
102	honoka	今日は目一杯楽しもー！	welcome to the party	UR	smile	sp	7234	7234	7455	spSkillUp_probability_none	楽しんでいこう！	appeal,32	33	techniquePlus_passive_everyone,appealPlus_musicStart_honoka	4.2		5	50
103	chika	沼津の名産	君のこころは輝いてるかい？	SR	smile	guard	4069	5426	4069	staminaRecovery_probability_none	みかんパワー	stamina,32	30	staminaPlus_passive_myself,staminaRecovery_acFailed_none	7		stamina,20	50
104	ayumu	みんな喜んでくれるかな？	わくわくアニマル	SR	pure	sp	3118	5018	5426	shieldGain_probability_none	ぴょんぴょんハート	stamina,27	30	appealPlus_passive_sameType,spGaugeGainUp_acSuccess_everyone	3.7		10,8	30
105	yoshiko	堕天使降臨っ！	トワイライトデーモン	UR	cool	guard	8108	10812	8108	staminaRecovery_probability_none	高まる闇の力	stamina,32	33	staminaPlus_passive_friends,staminaRecovery_acStart_none	5.2		stamina,20	30
106	eri	少し隣で待っててくれる？	Snow halation	SR	active	skill	4987	4987	6650	skillInvocationUp_probability_everyone	蒼い瞳の導き	5,3	30	techniquePlus_passive_myself,skillInvocationUp_acFailed_friends	7		10,8	80
107	dia	次のポーズはどのように？	ラピヌ・ミミ	UR	cool	sp	8108	9458	9458	shieldGain_probability_none	ルビィと一緒に	stamina,28	33	techniquePlus_passive_sameTeam,spSkillUp_acStart_none	7		appeal,11	30
108	maki	あまりジロジロ見ないでくれる？	Snow halation	SR	elegant	skill	4987	5818	5818	spGaugeGainUp_probability_everyone	あんまり見ないでよ	5,4.2	30	techniquePlus_passive_sameTeam,skillInvocationUp_changeTeam_everyone	5		10,8	30
109	ruby	こ、こう、ですか？	ラピヌ・ミミ	UR	smile	voltage	7234	7234	7455	voltageUp_probability_everyone	モデルもかんばルビィ	5,6.2	33	appealPlus_passive_everyone,voltageGain_acSuccess_none	4.2		appeal,35	30
110	niko	誰が七五三よ！	Snow halation	SR	pure	voltage	4474	4474	4610	voltageUp_probability_sameType	困っちゃうにこ～	5,7.2	30	techniquePlus_passive_sameType,appealUp_acSuccess_everyone	3.7		10,8	50
111	kasumi	かすみんに死角はないですよ～	わくわくアニマル	SR	natural	voltage	4474	4747	4339	appealUp_probability_everyone	ばかしてあげますよー	5,4.2	30	appealPlus_passive_sameAttribute,appealUp_acSuccess_everyone	3.2		10,8	50
112	umi	一射入魂	ブルーアモール	UR	active	voltage	10812	8108	8108	voltageUp_probability_everyone	ラブアローシュート	5,6.2	33	appealPlus_passive_sameTeam,appealPlus_musicStart_everyone	7		5	30
113	hanamaru	マルの大好きな本！	君のこころは輝いてるかい？	SR	cool	guard	4987	6650	4987	damageReduction_probability_none	ドキドキするずら！	10,11	30	staminaPlus_passive_sameAttribute,staminaRecovery_acFailed_none	3.2		stamina,20	50
114	shizuku	虹ヶ咲のジュリエット	わくわくアニマル	SR	cool	voltage	6650	4987	4987	voltageGain_probability_none	ベアースマイル	appeal,37	30	appealPlus_passive_myself,appealPlus_musicStart_everyone	7		3	30
115	kanan	ちゃんと繋がれたんだから	ブルーレーヴ	UR	elegant	sp	7837	8377	10812	spSkillUp_probability_none	一緒に寝ちゃおっか	appeal,32	33	techniquePlus_passive_everyone,spGaugeGainRate_musicStart_none	4.2		appeal,10	30
116	rin	お布団気持ちいいにゃ〜♪♪	Snow halation	SR	cool	skill	5484	5484	5650	spGaugeGainRate_probability_none	楽しいにゃ！	sp,7	30	techniquePlus_passive_sameTeam,skillInvocationPlus_acStartOnce_everyone	5		1.2	30
117	hanayo	一歩きりで終わらせないように	フルールレーヴ	UR	pure	skill	6578	7674	7674	spGaugeGainRate_probability_none	控えめな天使	sp,9	33	techniquePlus_passive_sameAttribute,skillInvocationUp_acStart_everyone	5.2		10,10	30
118	mari	これが下町マジック……！	君のこころは輝いてるかい？	SR	pure	guard	4474	4474	4610	shieldGain_probability_none	エンジョイ♪しましょ？	stamina,27	30	staminaPlus_passive_sameAttribute,staminaRecovery_damage_none	3.2		stamina,25	2000,40
119	ai	特別なお出かけ	わくわくアニマル	SR	active	sp	4474	4474	4610	spGaugeGainRate_probability_none	ヒョウだぞ〜！うっひょ〜う	sp,7	30	techniquePlus_passive_sameType,spGaugeGainUp_musicStart_everyone	4.2		10,8	30
120	riko	迷いのない澄んだ旋律	プレリュードブロッサム	UR	smile	skill	8108	10812	8108	shieldGain_probability_none	輝けるその一瞬を	stamina,32	33	staminaPlus_passive_friends,skillInvocationUp_acSuccess_everyone	5.2		10,10	50
121	nozomi	あなたのことも占ってあげる	Snow halation	SR	elegant	sp	6650	4987	4987	spGaugeGainRate_probability_none	タロットに導かれて	sp,7	30	appealPlus_passive_sameTeam,appealUp_acSuccess_everyone	5		10,4	50
122	eri	い、今、そこの茂みが揺れて……	フォレストフェアリー	UR	natural	voltage	10812	8108	8108	appealUp_probability_everyone	森林のちから	5,6.2	33	appealPlus_passive_everyone,voltageGain_acSuccess_none	4.2		appeal,35	30
123	yoshiko	嘆くのはおやめなさい	君のこころは輝いてるかい？	SR	elegant	guard	4987	6650	4987	damageReduction_probability_none	堕天使降臨☆	5,11	30	staminaPlus_passive_sameTeam,revival_musicStart_none	5		10	30
124	hanamaru	それが、野鳥観察の入り口ずら！	フォレストフェアリー	UR	active	voltage	7234	7234	7455	voltageGain_probability_none	自然に囲まれて	appeal,37	33	appealPlus_passive_sameAttribute,appealPlus_acStartOnce_everyone	5.2		5	30
125	umi	計画を立てましょう！	Snow halation	SR	active	sp	4747	4474	4339	spGaugeGainUp_probability_everyone	はじまりますよっ	5,4.2	30	techniquePlus_passive_sameTeam,spSkillUp_acStart_none	5		appeal,8	30
126	kanata	遅れてごめんね〜	わくわくアニマル	SR	cool	voltage	4474	4474	4610	voltageGain_probability_none	すやすやタイム	appeal,37	30	appealPlus_passive_myself,appealUp_acFailed_friends	7		10,10	80
127	maki	私をこんなに待たせるなんて	ドラマティックローズ	UR	elegant	guard	5916	14790	8874	damageReduction_probability_none	紅の魅力	10,10	33	staminaPlus_passive_sameTeam,shieldGain_acStart_none	7		stamina,10	40
128	you	せっかく一緒に海に来たんだし	スプラッシュマリン	UR	pure	voltage	12423	8282	8874	appealUp_probability_sameGrade	全速前進っ!!	5,7.2	33	staminaPlus_passive_everyone,skillInvocationUp_changeTeam_everyone	4.2		10,10	30
129	karin	キミと二人きりだもの	ブルータンタシオン	UR	cool	sp	13310	5916	10352	spSkillUp_probability_none	ついてこられるかしら	appeal,32	33	techniquePlus_passive_sameTeam,spGaugeGainRate_acSuccess_none	7		appeal,10	30
130	kotori	お手本を見せるね	Snow halation	SR	natural	voltage	8643	3157	4820	voltageGain_probability_none	つくりあげてきたもの	appeal,37	30	appealPlus_passive_myself,appealUp_acSuccess_everyone	7		10,4	50
131	ruby	とことんこだわって作りたいな	君のこころは輝いてるかい？	SR	pure	sp	4987	5818	5818	spGaugeGainRate_probability_none	ルビィにとって素敵なもの	sp,7	30	techniquePlus_passive_myself,spGaugeGainRate_musicStart_none	7		appeal,8	50
132	chika	流星に囲まれて	レオスターブライト	UR	smile	voltage	11351	8108	7568	spGaugeGainUp_probability_everyone	流星の願い事	5,5.2	33	techniquePlus_passive_everyone,shieldGain_acSuccess_none	4.2		appeal,10	20
133	hanayo	お弁当と言えば……	Snow halation	SR	cool	skill	3821	6150	6650	criticalRateUp_probability_sameTeam	頑張ります！	10,7	30	techniquePlus_passive_sameType,appealPlus_musicStart_everyone	4.2		3	30
134	nozomi	もしかしたら叶うかもしれないよ	ジェミニスターブライト	UR	active	sp	6578	7674	7674	criticalRateUp_probability_friends	星座の力	15,5	33	staminaPlus_passive_friends,spGaugeGainUp_acStart_everyone	5.2		5,20	30
135	riko	千歌ちゃん、起きて！	君のこころは輝いてるかい？	SR	cool	guard	4474	4474	4610	staminaRecovery_probability_none	素敵な音色	stamina,32	30	techniquePlus_passive_sameTeam,damageReductionPlus_musicStart_none	5		1.2	30
136	emma	言葉に言い表せない魅力	わくわくアニマル	SR	smile	skill	4747	4474	4339	skillInvocationUp_probability_sameTeam	かろやかステップ	5,4	30	techniquePlus_passive_sameType,appealPlus_acSuccessOnce_everyone	3.7		3	30
137	rin	こっちこっち早くするにゃ！	アフタースクールキャット	UR	smile	voltage	11620	5406	10000	voltageUp_probability_sameGrade	あなたも一緒に行くにゃ！	5,6.2	33	appealPlus_passive_sameAttribute,criticalRateUp_acSuccess_sameAttribute	5.2		10,10	50
138	kanan	ひと泳ぎしてたんだよ〜	君のこころは輝いてるかい？	SR	active	skill	6980	4654	4987	shieldGain_probability_none	可能性の海へ	technique,27	30	staminaPlus_passive_sameType,appealUp_acStart_everyone	4.2		10,4	30
139	niko	ニコの特製お弁当いかがですかぁ	明星の汽笛	UR	active	skill	8649	7568	10812	spGaugeGainRate_probability_none	出発進行っ！	sp,9	33	appealPlus_passive_sameAttribute,skillInvocationUp_acStart_sameAttribute	5.2		10,15	30
140	dia	真面目なアナウンス	君のこころは輝いてるかい？	SR	elegant	voltage	7813	3325	5484	voltageUp_probability_sameAttribute	聞いていただきますわよ！	5,5.2	30	techniquePlus_passive_sameAttribute,voltageUp_changeTeam_sameAttribute	3.2		5,4	20
141	mari	それじゃ、レッツゴー♪	明星の汽笛	UR	pure	guard	6578	8772	6578	staminaRecovery_probability_none	出発デースッ！	stamina,28	33	staminaPlus_passive_sameTeam,damageReductionAc_acStart_none	7		5	30
142	honoka	お荷物のせますね〜	Snow halation	SR	smile	voltage	4747	4474	4339	voltageGain_probability_none	はじめようっ！	appeal,37	30	techniquePlus_passive_sameAttribute,voltagePlus_musicStart_sameAttribute	3.2		3	30
143	rina	にっこりんな飾りつけ	わくわくアニマル	SR	active	sp	6103	2713	4747	spSkillUp_probability_none	ドキドキニャンニャン	appeal,22	30	staminaPlus_passive_myself,spGaugeGainRate_musicStart_none	7		appeal,8	50
144	kotori	この水着すごくお気に入りなんだ	ハミングエンジェル	UR	elegant	sp	11131	6919	12036	spGaugeGainUp_probability_sameAttribute	みんなには内緒だよ	10,20	33	techniquePlus_passive_sameAttribute,spSkillUp_changeTeam_none	5.2		appeal,20	30
145	yoshiko	あなたが一緒なら	デビルロッカー	UR	natural	skill	10530	9927	9628	skillInvocationUp_probability_sameTeam	堕天使の雨	2,30	33	techniquePlus_passive_sameTeam,changeTeamPlus_musicStart_sameTeam	7		200	20
146	setsuna	えへへ……嬉しいです！	スカーレットカレッジ	UR	active	voltage	13901	5916	9760	voltageGain_probability_none	Emotional Power	appeal,42	33	appealPlus_passive_sameTeam,voltageGain_changeTeam_none	7		appeal,10	30
